[2022-02-11 20:26:51] [Client/INFO] Program entry found.
[2022-02-11 20:26:51] [Client/INFO] Main class loading: successful.
[2022-02-11 20:26:51] [Client/INFO] ShowTipBox showed: type number:001, state: successful.
[2022-02-11 20:26:51] [Client/INFO] ShowTipBox showed: type number:002, state: successful.
[2022-02-11 20:26:51] [Client/INFO] ShowIssueFeedbackBox showed: type number:003, state: successful.
[2022-02-11 20:26:51] [Client/INFO] Set variable: name: _return0, var number: 001, state: successful.
[2022-02-11 20:26:51] [Client/INFO] ShowChoiceBox showed: type number:004, state: successful.
[2022-02-11 20:26:51] [Client/INFO] Reassignment variable: name: _return0, Reassignment content: [string]'zh-CN', var number: 001, state: successful.
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 0%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 10%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 25%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 30%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 45%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 60%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 75%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 95%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. progress: 100%
[2022-02-11 20:26:51] [Client/INFO] Prepare to loading resources. state: successful.
[2022-02-11 20:26:51] [Client/INFO] Has entered the simplified Chinese environment.
[2022-02-11 20:26:51] [Client/INFO] Language pack loaded successfully.
[2022-02-11 20:26:51] [Client/INFO] Initializing...
[2022-02-11 20:26:51] [Client/INFO] Loading resources...
[2022-02-11 20:26:51] [Client/INFO] Evoke progress bar module
[2022-02-11 20:26:51] [Client/INFO] The progress bar module has been evoked.
[2022-02-11 20:26:51] [Client/INFO] The progress bar has been evoked.
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 0%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 2%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 4%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 6%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 8%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 10%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 12%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 14%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 16%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 18%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 20%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 22%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 24%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 26%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 28%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 30%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 32%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 34%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 36%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 38%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 40%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 42%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 44%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 46%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 48%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 50%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 52%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 54%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 56%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 58%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 60%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 62%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 64%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 66%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 68%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 70%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 72%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 74%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 76%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 78%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 80%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 82%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 84%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 86%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 88%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 90%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 92%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 94%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 96%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 98%
[2022-02-11 20:26:51] [Client/ERROR] Error: Failed to loading resources, repairing: 100%
